UTC:,ykdhf,,,,,,,,,,,,,,,,,
time_pc [s],Mass [g],time_mcu[ms],data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:
0.876273155,0,65768,9167,10215,24593,6762,22606,11110,8940,8962,8778,8639,8734,9152,8500,8441,8375,9130
0.876273155,0,65783,8771,9013,10237,23090,6572,20561,10699,9116,8881,8624,8756,8998,8368,8323,8375,8917
0.891602755,0,65798,8536,8683,9057,9416,21030,6271,18992,10809,9167,8786,8705,9071,8456,8294,8323,8808
0.90755105,0,65813,8595,8610,8793,8793,9233,19637,6191,19175,11205,9182,8947,9204,8434,8448,8316,8852
0.923149824,0,65828,8609,8632,8815,8712,8800,9292,19402,6205,19468,11036,9211,9511,8617,8397,8382,8910
0.938466787,0,65842,8653,8632,8720,8580,8661,8837,9563,20033,6286,21514,11227,10032,8763,8470,8346,8844
0.954440355,0,65857,8529,8514,8697,8565,8499,8661,8844,9607,21975,6491,24725,12701,8954,8485,8353,8837
0.969708681,0,65872,8624,8500,8624,8470,8536,8433,8499,8859,9533,25084,6806,38304,13691,8998,8492,8896
0.985671759,0,65887,9035,9050,9233,9006,8844,8837,8888,9343,9643,10560,38333,8324,48414,15707,9717,9599
1.001306295,0,65902,9028,8895,8940,8734,8734,8624,8544,8903,8888,9006,10604,48524,9446,29725,12041,9511
1.016926289,0,65916,8925,8808,8756,8522,8507,8434,8338,8602,8602,8536,8896,11344,29791,7386,26155,11608
1.032194376,0,65931,9636,9057,8932,8632,8573,8419,8345,8573,8485,8478,8734,9621,9409,26529,7004,27702
1.048168659,0,65946,30194,11733,9313,8808,8661,8463,8404,8588,8492,8463,8617,9189,8631,9013,27489,7034
1.048168659,0,A,,,,,,,,,,,,,,,,
1.063794851,0,65961,4600,22877,11982,9445,8874,8566,8412,8646,8551,8477,8705,9152,8522,8573,9240,28178
1.079086304,0,65976,25143,6608,24593,12136,9248,8661,8500,8617,8558,8492,8610,9013,8426,8426,8529,9680
1.094678402,0,65990,10186,24886,6806,24043,12173,9306,8807,8969,8808,8653,8763,9233,8522,8470,8632,9468
1.110602856,0,66005,9152,10252,24564,6770,22680,11051,8932,8947,8785,8661,8720,9123,8485,8382,8419,9050
1.126207352,0,66020,8778,9035,10186,23053,6601,20502,10523,9138,8852,8631,8661,8976,8368,8309,8360,8852
1.141876221,0,66035,8588,8734,9013,9372,21015,6366,18918,10816,9123,8778,8624,8962,8346,8302,8316,8778
1.157296658,0,66050,8499,8566,8829,8808,9270,19541,6213,19138,11117,9262,8896,9211,8434,8367,8301,8881
1.157296658,0,66064,8588,8668,8764,8727,8837,9255,19395,6191,19409,11058,9182,9489,8544,8375,8353,8918
1.173068523,0,66079,8595,8602,8749,8654,8697,8830,9577,20003,6213,21477,11256,9929,8646,8485,8390,8866
1.188445091,0,66094,8551,8639,8668,8521,8521,8617,8852,9746,21917,6447,24666,12649,9027,8507,8353,8822
1.205952406,0,66109,8617,8617,8675,8463,8477,8470,8456,8881,9533,25128,6850,38406,13573,8932,8507,8918
1.221833467,0,66124,9101,9020,9262,9050,8932,8815,8896,9350,9621,10531,38340,8265,48363,15736,9790,9570
1.237195253,0,66138,9035,8844,8947,8793,8698,8653,8646,8874,8881,8998,10633,48429,9409,29696,12077,9490
1.253177881,0,66153,8932,8749,8778,8609,8485,8426,8280,8573,8551,8558,8910,11242,29828,7151,26096,11572
1.275539637,0,66168,9651,8984,8910,8668,8558,8463,8309,8551,8529,8492,8705,9584,9446,26793,6982,27731
1.285705566,0,66183,30195,11784,9269,8830,8610,8419,8382,8551,8507,8470,8624,9167,8675,9020,27636,7092
1.285705566,0,A,,,,,,,,,,,,,,,,
1.301357985,0,66198,4600,22753,11989,9357,8852,8514,8426,8654,8536,8456,8646,9116,8551,8573,9247,27995
